Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
9969571,"Ready Player One (Ready Player One, #1)",Ernest Cline,"Cline, Ernest",,"=""030788743X""","=""9780307887436""",5,4.23,Crown Publishers,Hardcover,480,2011,2011,2018/09/10,2018/09/11,,,read,,,,1,0
18373,Flowers for Algernon,Daniel Keyes,"Keyes, Daniel",,"=""015603008X""","=""9780156030083""",3,4.24,Harvest Books,Paperback,311,2004,1966,2018/09/11,2011/02/07,,,read,,,,1,0
331256,Roadside Picnic,Arkady Strugatsky,"Strugatsky, Arkady","Boris Strugatsky, Antonina W. Bouis, Theodore Sturgeon","=""0575070536""","=""9780575070530""",2,4.12,Gollancz,Paperback,145,2000,1972,2018/09/11,2018/09/11,,,read,,,,1,0
16312989,The Qur'an,Anonymous,"Anonymous, Anonymous",A.S. Abdel Haleem M.,"=""6610964955""","=""9786610964956""",5,4.38,Oxford University Press,Kindle Edition,464,2005,632,2016/01/01,2018/09/11,,,read,,,,1,0
11602,Hearts in Atlantis,Stephen        King,"King, Stephen",,"=""0340818670""","=""9780340818671""",4,3.86,New English Library,Paperback,640,2001,1999,,2016/05/25,,,read,,,,1,0
62291,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",4,4.55,Bantam,Mass Market Paperback,1177,2003,2000,,2012/09/19,,,read,,,,1,0
168668,Catch-22,Joseph Heller,"Heller, Joseph",,"=""0684833395""","=""9780684833392""",0,3.99,Simon & Schuster ,Paperback,453,2004,1961,,2018/09/11,to-read,to-read (#8),to-read,,,,0,0
43615,"The Gunslinger (The Dark Tower, #1)",Stephen        King,"King, Stephen",,"=""1501143514""","=""9781501143519""",4,3.91,Plume,Paperback,231,2003,1982,2016/06/08,2016/05/25,,,read,,,,1,0
8306857,"Divergent (Divergent, #1)",Veronica Roth,"Roth, Veronica",,"=""0062024027""","=""9780062024022""",4,4.13,Katherine Tegen Books,Hardcover,487,2011,2011,2011/12/17,2011/12/11,,,read,,,,1,0
11566,The Green Mile,Stephen        King,"King, Stephen",,"=""0451933028""","=""9780451933027""",0,4.49,Penguin Signet,Paperback,592,1996,1996,,2016/05/25,to-read,to-read (#7),to-read,,,,0,0
5470,1984,George Orwell,"Orwell, George",,"=""""","=""""",5,4.20,New American Library,Mass Market Paperback,328,1950,1949,2014/12/01,2011/02/01,,,read,,,,1,0
11235712,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,"Meyer, Marissa",,"=""0312641893""","=""9780312641894""",0,4.12,Feiwel & Friends,Hardcover,390,2012,2012,,2014/09/01,to-read,to-read (#6),to-read,,,,0,0
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",5,4.58,Scholastic Inc,Paperback,652,2006,2005,2011/09/02,2011/07/05,,,read,,,,1,0
68428,"Mistborn: The Final Empire (Mistborn, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""9780765311788""",0,4.49,Tor Books,Hardcover,541,2006,2006,,2014/02/19,to-read,to-read (#5),to-read,,,,0,0
552347,"Myth Directions (Myth Adventures, #3)",Robert Lynn Asprin,"Asprin, Robert Lynn",,"=""0441013848""","=""9780441013845""",4,4.08,Ace,Mass Market Paperback,224,2006,1982,,2013/01/01,,,read,,,,1,0
350,Stranger in a Strange Land,Robert A. Heinlein,"Heinlein, Robert A.",James Warhola,"=""""","=""""",4,3.92,Ace,Paperback,525,1991,1961,,2013/05/31,,,read,,,,1,0
6599342,The Girl With the Dragon Tattoo (Millennium #1),Stieg Larsson,"Larsson, Stieg",,"=""""","=""""",1,4.18,Vintage,ebook,658,2008,2005,,2011/05/20,abandoned,abandoned (#2),abandoned,,,,0,0
10644930,11/22/63,Stephen        King,"King, Stephen",,"=""1451627289""","=""9781451627282""",0,4.35,Scribner,Hardcover,849,2011,2011,,2013/06/09,to-read,to-read (#4),to-read,,,,0,0
64218,"Eric (Discworld, #9; Rincewind, #4)",Terry Pratchett,"Pratchett, Terry",,"=""0380821214""","=""9780380821211""",3,3.79,Harper,Mass Market Paperback,197,2008,1990,2013/01/07,2013/01/01,,,read,,,,1,0
